subset_name,strategy,n_layers,layer_indices,layer_ids,ref_set,metric,k,auroc
single_l20,single,1,[6],[20],val,cosine,5,0.7854644030490865
single_l20,single,1,[6],[20],val,cosine,9,0.786961595105925
single_l20,single,1,[6],[20],val,cosine,15,0.7877445823690301
single_l20,single,1,[6],[20],val,cosine,31,0.788273317257117
single_l20,single,1,[6],[20],val,cosine,63,0.7884769133664569
single_l20,single,1,[6],[20],val,cosine,127,0.7885189920536018
single_l20,single,1,[6],[20],train_val,euclidean,1,0.7482037255822234
single_l20,single,1,[6],[20],train_val,euclidean,3,0.7718532424865268
single_l20,single,1,[6],[20],train_val,euclidean,5,0.7786861739144508
single_l20,single,1,[6],[20],train_val,euclidean,9,0.7831639935910923
single_l20,single,1,[6],[20],train_val,euclidean,15,0.7853176131673922
single_l20,single,1,[6],[20],train_val,euclidean,31,0.7870468853679458
single_l20,single,1,[6],[20],train_val,euclidean,63,0.7878266358089628
single_l20,single,1,[6],[20],train_val,euclidean,127,0.7883545614915277
single_l20,single,1,[6],[20],train_val,cosine,1,0.7476400330155853
single_l20,single,1,[6],[20],train_val,cosine,3,0.7736454708766932
single_l20,single,1,[6],[20],train_val,cosine,5,0.7798773244428621
single_l20,single,1,[6],[20],train_val,cosine,9,0.7837726779847545
single_l20,single,1,[6],[20],train_val,cosine,15,0.7856356309375455
single_l20,single,1,[6],[20],train_val,cosine,31,0.7870972179514153
single_l20,single,1,[6],[20],train_val,cosine,63,0.7878599750764699
single_l20,single,1,[6],[20],train_val,cosine,127,0.7883613588179126
single_l21,single,1,[7],[21],train,euclidean,1,0.7565022900516274
single_l21,single,1,[7],[21],train,euclidean,3,0.7764760717927138
single_l21,single,1,[7],[21],train,euclidean,5,0.7816630791888524
single_l21,single,1,[7],[21],train,euclidean,9,0.7851692048746541
single_l21,single,1,[7],[21],train,euclidean,15,0.7867555713800191
single_l21,single,1,[7],[21],train,euclidean,31,0.7878217805758307
single_l21,single,1,[7],[21],train,euclidean,63,0.7885277314732395
single_l21,single,1,[7],[21],train,euclidean,127,0.7888675977924873
single_l21,single,1,[7],[21],train,cosine,1,0.7560015536746023
single_l21,single,1,[7],[21],train,cosine,3,0.7779815177458771
single_l21,single,1,[7],[21],train,cosine,5,0.782548511871045
single_l21,single,1,[7],[21],train,cosine,9,0.7855818996908835
single_l21,single,1,[7],[21],train,cosine,15,0.7869067309715322
single_l21,single,1,[7],[21],train,cosine,31,0.7878842512421304
single_l21,single,1,[7],[21],train,cosine,63,0.7885529786855265
single_l21,single,1,[7],[21],train,cosine,127,0.7888721293434107
single_l21,single,1,[7],[21],val,euclidean,1,0.7722665846671737
single_l21,single,1,[7],[21],val,euclidean,3,0.7833747107090259
single_l21,single,1,[7],[21],val,euclidean,5,0.7857863050057453
single_l21,single,1,[7],[21],val,euclidean,9,0.7871993396882939
single_l21,single,1,[7],[21],val,euclidean,15,0.7878907248863066
single_l21,single,1,[7],[21],val,euclidean,31,0.788462995031478
single_l21,single,1,[7],[21],val,euclidean,63,0.7887132013788863
single_l21,single,1,[7],[21],val,euclidean,127,0.7888501189532118
single_l21,single,1,[7],[21],val,cosine,1,0.7719547168589879
single_l21,single,1,[7],[21],val,cosine,3,0.7839032837560084
single_l21,single,1,[7],[21],val,cosine,5,0.7859369790739452
single_l21,single,1,[7],[21],val,cosine,9,0.787174092476007
single_l21,single,1,[7],[21],val,cosine,15,0.7878332712942434
single_l21,single,1,[7],[21],val,cosine,31,0.7884451925099936
single_l21,single,1,[7],[21],val,cosine,63,0.7886999304083251
single_l21,single,1,[7],[21],val,cosine,127,0.788819692825584
single_l21,single,1,[7],[21],train_val,euclidean,1,0.7511916360517245
single_l21,single,1,[7],[21],train_val,euclidean,3,0.7739707714965447
single_l21,single,1,[7],[21],train_val,euclidean,5,0.7802547378983313
single_l21,single,1,[7],[21],train_val,euclidean,9,0.784391072844681
single_l21,single,1,[7],[21],train_val,euclidean,15,0.7862991794656006
single_l21,single,1,[7],[21],train_val,euclidean,31,0.7875586269400703
single_l21,single,1,[7],[21],train_val,euclidean,63,0.7882762303969962
single_l21,single,1,[7],[21],train_val,euclidean,127,0.7886979883150722
single_l21,single,1,[7],[21],train_val,cosine,1,0.7506344171292625
single_l21,single,1,[7],[21],train_val,cosine,3,0.7757835537069706
single_l21,single,1,[7],[21],train_val,cosine,5,0.7813698231076729
single_l21,single,1,[7],[21],train_val,cosine,9,0.7848892197640357
single_l21,single,1,[7],[21],train_val,cosine,15,0.7864676560552849
single_l21,single,1,[7],[21],train_val,cosine,31,0.7875508585670589
single_l21,single,1,[7],[21],train_val,cosine,63,0.7883005065626568
single_l21,single,1,[7],[21],train_val,cosine,127,0.788713848743304
single_l22,single,1,[8],[22],train,euclidean,1,0.7595241871530531
single_l22,single,1,[8],[22],train,euclidean,3,0.7787687128776968
single_l22,single,1,[8],[22],train,euclidean,5,0.7841570506077133
single_l22,single,1,[8],[22],train,euclidean,9,0.7878713039537782
single_l22,single,1,[8],[22],train,euclidean,15,0.7894819466248038
single_l22,single,1,[8],[22],train,euclidean,31,0.7908038647655731
single_l22,single,1,[8],[22],train,euclidean,63,0.7914337503439124
single_l22,single,1,[8],[22],train,euclidean,127,0.7918069559306673
single_l22,single,1,[8],[22],train,cosine,1,0.7589912443962518
single_l22,single,1,[8],[22],train,cosine,3,0.780244541908754
single_l22,single,1,[8],[22],train,cosine,5,0.7850665976144622
single_l22,single,1,[8],[22],train,cosine,9,0.7882564857822589
